backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
tiny,chip_037_102_merged.tif,0.8,2,298909501,156,31.9326,36.8987,4.9662
tiny,chip_037_102_merged.tif,0.8,3,2065786518,156,32.5567,36.9559,4.3992
tiny,chip_037_102_merged.tif,0.8,4,1585841000,156,31.9224,34.0636,2.1412
tiny,chip_038_107_merged.tif,0.2,0,1677005883,39,35.4195,36.7456,1.3261
tiny,chip_038_107_merged.tif,0.2,1,1296399252,39,33.7625,36.5741,2.8116
tiny,chip_038_107_merged.tif,0.2,2,816453734,39,33.7613,37.209,3.4478
tiny,chip_038_107_merged.tif,0.2,3,435847103,39,35.6478,35.6762,0.0284
tiny,chip_038_107_merged.tif,0.2,4,55240472,39,30.2965,36.5697,6.2733
tiny,chip_038_107_merged.tif,0.4,0,711069700,78,30.1521,37.0856,6.9335
tiny,chip_038_107_merged.tif,0.4,1,231124182,78,33.7892,35.8545,2.0653
tiny,chip_038_107_merged.tif,0.4,2,1998001199,78,30.152,36.6677,6.5157
tiny,chip_038_107_merged.tif,0.4,3,1617394568,78,32.413,36.8054,4.3923
tiny,chip_038_107_merged.tif,0.4,4,1137449050,78,30.1752,36.385,6.2098
tiny,chip_038_107_merged.tif,0.6,0,2115255141,117,31.1268,35.2272,4.1005
tiny,chip_038_107_merged.tif,0.6,1,1635309623,117,33.4614,35.792,2.3307
tiny,chip_038_107_merged.tif,0.6,2,1254702992,117,30.9909,36.6443,5.6535
tiny,chip_038_107_merged.tif,0.6,3,874096361,117,33.021,36.5155,3.4945
tiny,chip_038_107_merged.tif,0.6,4,394150843,117,33.4914,36.4709,2.9795
tiny,chip_038_107_merged.tif,0.8,0,1632662945,156,34.0474,35.8909,1.8435
tiny,chip_038_107_merged.tif,0.8,1,1252056314,156,33.4487,34.4816,1.0329
tiny,chip_038_107_merged.tif,0.8,2,772110796,156,31.6833,34.6986,3.0152
tiny,chip_038_107_merged.tif,0.8,3,391504165,156,33.2712,35.2842,2.013
tiny,chip_038_107_merged.tif,0.8,4,2059042295,156,31.6815,34.9502,3.2687
tiny,chip_039_108_merged.tif,0.2,0,37686692,39,29.3657,35.7653,6.3996
tiny,chip_039_108_merged.tif,0.2,1,1804563709,39,29.3635,36.0883,6.7248
tiny,chip_039_108_merged.tif,0.2,2,1324618191,39,34.1765,36.1489,1.9724
tiny,chip_039_108_merged.tif,0.2,3,944011560,39,32.1625,35.7156,3.5531
tiny,chip_039_108_merged.tif,0.2,4,464066042,39,30.9216,36.6184,5.6968
