backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
tiny,chip_249_270_merged.tif,0.2,3,1563390489,3,13,0.199,0.005104,36.8542,0.9638,0.02016,30.3902,0.8429
tiny,chip_249_270_merged.tif,0.2,4,1182783858,3,13,0.199,0.00471,37.6905,0.9659,0.018663,31.1932,0.8493
tiny,chip_249_270_merged.tif,0.4,0,496450288,6,13,0.398,0.011557,32.6795,0.924,0.023028,29.1701,0.8523
tiny,chip_249_270_merged.tif,0.4,1,115843657,6,13,0.398,0.011374,32.7319,0.9316,0.024574,29.0621,0.8644
tiny,chip_249_270_merged.tif,0.4,2,1882720674,6,13,0.398,0.010952,33.2288,0.9311,0.021099,29.9838,0.8747
tiny,chip_249_270_merged.tif,0.4,3,1402775156,6,13,0.398,0.011391,32.9726,0.9312,0.022825,29.6316,0.8729
tiny,chip_249_270_merged.tif,0.4,4,1022168525,6,13,0.398,0.010034,33.7226,0.9343,0.019336,30.6653,0.8769
tiny,chip_249_270_merged.tif,0.6,0,1900635729,9,13,0.5969,0.01766,31.0403,0.8996,0.025992,29.0743,0.8591
tiny,chip_249_270_merged.tif,0.6,1,1520029098,9,13,0.5969,0.020246,29.8924,0.8747,0.02631,28.8051,0.8433
tiny,chip_249_270_merged.tif,0.6,2,1139422467,9,13,0.5969,0.019771,30.3621,0.8904,0.026978,29.0015,0.8529
tiny,chip_249_270_merged.tif,0.6,3,659476949,9,13,0.5969,0.021293,29.8691,0.8726,0.027981,28.5209,0.8415
tiny,chip_249_270_merged.tif,0.6,4,278870318,9,13,0.5969,0.020177,29.8645,0.8843,0.028507,28.0643,0.8492
tiny,chip_249_270_merged.tif,0.8,0,1517382420,12,13,0.7959,0.030285,27.5785,0.8101,0.033012,27.137,0.8
tiny,chip_249_270_merged.tif,0.8,1,1037436902,12,13,0.7959,0.027696,28.1952,0.8256,0.031102,27.6051,0.8052
tiny,chip_249_270_merged.tif,0.8,2,656830271,12,13,0.7959,0.027051,27.7336,0.8175,0.029896,27.2601,0.8008
tiny,chip_249_270_merged.tif,0.8,3,176884753,12,13,0.7959,0.03247,27.4039,0.8063,0.036458,26.891,0.7894
tiny,chip_249_270_merged.tif,0.8,4,1943761770,12,13,0.7959,0.031583,27.625,0.8201,0.035689,27.0198,0.8068
tiny,chip_105_104_merged.tif,0.2,0,2008773706,3,13,0.199,0.004699,38.4892,0.9648,0.01546,33.2181,0.8925
tiny,chip_105_104_merged.tif,0.2,1,1628167075,3,13,0.199,0.005131,38.0716,0.9589,0.016907,32.9281,0.8764
tiny,chip_105_104_merged.tif,0.2,2,1247560444,3,13,0.199,0.005372,37.6715,0.9597,0.017398,32.433,0.8735
tiny,chip_105_104_merged.tif,0.2,3,767614926,3,13,0.199,0.005167,37.8474,0.9571,0.016072,33.1188,0.8632
tiny,chip_105_104_merged.tif,0.2,4,387008295,3,13,0.199,0.006349,36.2122,0.9481,0.023922,30.182,0.8001
tiny,chip_105_104_merged.tif,0.4,0,1042837523,6,13,0.398,0.014725,31.614,0.871,0.02924,28.2475,0.743
tiny,chip_105_104_merged.tif,0.4,1,562892005,6,13,0.398,0.013382,32.5693,0.8878,0.024795,29.6367,0.7975
tiny,chip_105_104_merged.tif,0.4,2,182285374,6,13,0.398,0.010706,34.3526,0.9093,0.018266,31.9658,0.8495
tiny,chip_105_104_merged.tif,0.4,3,1949162391,6,13,0.398,0.009909,34.7174,0.9175,0.018511,32.147,0.8518
tiny,chip_105_104_merged.tif,0.4,4,1469216873,6,13,0.398,0.012898,32.9717,0.8922,0.02387,30.0045,0.8042
tiny,chip_105_104_merged.tif,0.6,0,1104860166,9,13,0.5969,0.020719,29.7023,0.815,0.030706,27.7569,0.7304
tiny,chip_105_104_merged.tif,0.6,1,724253535,9,13,0.5969,0.018955,30.5433,0.8319,0.027448,28.8321,0.7561
tiny,chip_105_104_merged.tif,0.6,2,244308017,9,13,0.5969,0.020078,30.2,0.8206,0.027896,28.7096,0.7513
tiny,chip_105_104_merged.tif,0.6,3,2011185034,9,13,0.5969,0.022425,29.3278,0.8161,0.032707,27.4214,0.7299
tiny,chip_105_104_merged.tif,0.6,4,1630578403,9,13,0.5969,0.02217,29.3942,0.805,0.030896,27.7115,0.7326
tiny,chip_105_104_merged.tif,0.8,0,622267970,12,13,0.7959,0.030536,27.7619,0.7208,0.034825,27.0931,0.6801
tiny,chip_105_104_merged.tif,0.8,1,241661339,12,13,0.7959,0.030901,27.7058,0.7192,0.034518,27.1605,0.6864
tiny,chip_105_104_merged.tif,0.8,2,2008538356,12,13,0.7959,0.032204,26.8238,0.7005,0.036572,26.2173,0.6617
tiny,chip_105_104_merged.tif,0.8,3,1528592838,12,13,0.7959,0.035082,26.5522,0.6801,0.038582,26.072,0.6522
tiny,chip_105_104_merged.tif,0.8,4,1147986207,12,13,0.7959,0.031925,27.1285,0.7051,0.036789,26.4454,0.663
tiny,chip_138_474_merged.tif,0.2,0,588256721,3,13,0.199,0.008017,35.1203,0.9284,0.027116,29.6392,0.7654
tiny,chip_138_474_merged.tif,0.2,1,207650090,3,13,0.199,0.007247,35.7382,0.934,0.026883,29.8062,0.7535
tiny,chip_138_474_merged.tif,0.2,2,1875188220,3,13,0.199,0.006674,36.6569,0.9383,0.023452,30.9439,0.7818
tiny,chip_138_474_merged.tif,0.2,3,1494581589,3,13,0.199,0.006467,36.3466,0.9363,0.02352,30.5259,0.7535
tiny,chip_138_474_merged.tif,0.2,4,1014636071,3,13,0.199,0.006459,36.5365,0.9387,0.02131,31.1808,0.7861
tiny,chip_138_474_merged.tif,0.4,0,427641388,6,13,0.398,0.012827,33.0081,0.8768,0.024477,30.1661,0.7668
tiny,chip_138_474_merged.tif,0.4,1,2095179518,6,13,0.398,0.016199,31.7528,0.857,0.031878,28.6145,0.724
tiny,chip_138_474_merged.tif,0.4,2,1714572887,6,13,0.398,0.016235,31.8104,0.8585,0.031305,28.6803,0.7322
tiny,chip_138_474_merged.tif,0.4,3,1333966256,6,13,0.398,0.014069,32.3558,0.8733,0.02632,29.5403,0.7685
tiny,chip_138_474_merged.tif,0.4,4,854020738,6,13,0.398,0.014345,32.5822,0.8581,0.024124,30.2323,0.7629
tiny,chip_138_474_merged.tif,0.6,0,1831826829,9,13,0.5969,0.021086,30.6798,0.7928,0.02742,29.433,0.7311
tiny,chip_138_474_merged.tif,0.6,1,1451220198,9,13,0.5969,0.02379,29.7655,0.7846,0.032793,28.2351,0.7123
tiny,chip_138_474_merged.tif,0.6,2,971274680,9,13,0.5969,0.021914,30.1567,0.7915,0.029487,28.7066,0.7301
tiny,chip_138_474_merged.tif,0.6,3,590668049,9,13,0.5969,0.023115,29.9955,0.784,0.031047,28.6833,0.7194
tiny,chip_138_474_merged.tif,0.6,4,110722531,9,13,0.5969,0.02438,29.8908,0.776,0.032451,28.4827,0.7123
tiny,chip_138_474_merged.tif,0.8,0,1349234633,12,13,0.7959,0.030886,28.2919,0.6871,0.032922,27.9807,0.6702
tiny,chip_138_474_merged.tif,0.8,1,968628002,12,13,0.7959,0.030925,28.0163,0.6835,0.031673,27.8724,0.676
tiny,chip_138_474_merged.tif,0.8,2,488682484,12,13,0.7959,0.031477,28.1523,0.68,0.031652,28.2067,0.6764
tiny,chip_138_474_merged.tif,0.8,3,108075853,12,13,0.7959,0.030657,28.4435,0.6875,0.032009,28.2588,0.6792
tiny,chip_138_474_merged.tif,0.8,4,1775613983,12,13,0.7959,0.03264,27.9304,0.6847,0.034884,27.6627,0.6681
tiny,chip_142_497_merged.tif,0.2,0,628885641,3,13,0.199,0.003658,40.9969,0.9699,0.011242,36.6012,0.9084
tiny,chip_142_497_merged.tif,0.2,1,248279010,3,13,0.199,0.003272,41.6073,0.9717,0.010455,36.0734,0.8998
tiny,chip_142_497_merged.tif,0.2,2,1915817140,3,13,0.199,0.003618,41.1163,0.9726,0.012022,35.8743,0.9117
tiny,chip_142_497_merged.tif,0.2,3,1535210509,3,13,0.199,0.003629,41.6766,0.9709,0.011489,36.2468,0.9165
tiny,chip_142_497_merged.tif,0.2,4,1154603878,3,13,0.199,0.003465,41.5949,0.9721,0.010015,37.309,0.9124
tiny,chip_142_497_merged.tif,0.4,0,1810433106,6,13,0.398,0.007532,36.1589,0.9336,0.013468,33.7923,0.8873
tiny,chip_142_497_merged.tif,0.4,1,1330487588,6,13,0.398,0.006612,38.3527,0.9435,0.012366,35.4396,0.8974
tiny,chip_142_497_merged.tif,0.4,2,949880957,6,13,0.398,0.007547,36.3363,0.935,0.014462,32.9376,0.8758
