chip,mask_ratio,100M,300M,600M,tiny,rank_tiny,rank_100M,rank_300M,rank_600M,metric
chip_091_336_merged.tif,0.2,36.21626,36.136199999999995,37.92382,33.86898,4.0,2.0,3.0,1.0,block_psnr
chip_091_336_merged.tif,0.4,36.28318,36.73918,37.72964,33.5561,4.0,3.0,2.0,1.0,block_psnr
chip_091_336_merged.tif,0.6,36.35836,36.834559999999996,37.59976,33.3108,4.0,3.0,2.0,1.0,block_psnr
chip_091_336_merged.tif,0.8,34.64156,35.97452,36.612700000000004,31.727899999999998,4.0,3.0,2.0,1.0,block_psnr
chip_092_214_merged.tif,0.2,32.33674,32.48734,32.07,30.083859999999998,4.0,2.0,1.0,3.0,block_psnr
chip_092_214_merged.tif,0.4,30.862419999999997,31.12408,30.18386,29.786379999999998,4.0,2.0,1.0,3.0,block_psnr
chip_092_214_merged.tif,0.6,30.50942,30.474239999999998,30.089280000000002,29.783440000000002,4.0,1.0,2.0,3.0,block_psnr
chip_092_214_merged.tif,0.8,30.59584,30.80066,29.31718,29.943779999999997,3.0,2.0,1.0,4.0,block_psnr
chip_092_320_merged.tif,0.2,33.66578,34.17092,34.7276,31.670460000000002,4.0,3.0,2.0,1.0,block_psnr
chip_092_320_merged.tif,0.4,33.72956,34.389179999999996,34.61762,31.434320000000003,4.0,3.0,2.0,1.0,block_psnr
chip_092_320_merged.tif,0.6,32.96386,33.71508,33.98172,31.31322,4.0,3.0,2.0,1.0,block_psnr
chip_092_320_merged.tif,0.8,32.788120000000006,33.382580000000004,33.92858,31.302480000000003,4.0,3.0,2.0,1.0,block_psnr
chip_092_322_merged.tif,0.2,33.394439999999996,33.62192,32.9008,31.24048,4.0,2.0,1.0,3.0,block_psnr
chip_092_322_merged.tif,0.4,33.06768,32.877539999999996,32.67336,30.84312,4.0,1.0,2.0,3.0,block_psnr
chip_092_322_merged.tif,0.6,32.676,32.93994,33.346140000000005,30.777800000000003,4.0,3.0,2.0,1.0,block_psnr
chip_092_322_merged.tif,0.8,32.44394,32.81586,32.88046,31.03734,4.0,3.0,2.0,1.0,block_psnr
chip_093_213_merged.tif,0.2,32.0676,32.58282,33.8536,32.41444,3.0,4.0,2.0,1.0,block_psnr
chip_093_213_merged.tif,0.4,32.6422,33.04986,33.05164,31.715020000000003,4.0,3.0,2.0,1.0,block_psnr
chip_093_213_merged.tif,0.6,32.0009,32.480180000000004,31.71094,31.4428,4.0,2.0,1.0,3.0,block_psnr
