backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr_logged,block_psnr_replay,block_psnr_diff,random_psnr_logged,random_psnr_replay,random_psnr_diff,block_mae,random_mae
600M,chip_042_092_merged.tif,0.4,3,247698874,100,34.8883,34.8883,-0.0,39.5719,39.5719,-0.0,0.01047,0.006366
600M,chip_042_092_merged.tif,0.4,4,2014575891,100,31.2388,31.2388,-0.0,40.2753,40.2753,0.0,0.015032,0.006233
600M,chip_042_092_merged.tif,0.6,0,1650219184,154,29.6829,29.6829,-0.0,37.4595,37.4595,-0.0,0.017613,0.00756
600M,chip_042_092_merged.tif,0.6,1,1170273666,154,29.6837,29.6837,-0.0,35.9596,35.9596,0.0,0.017612,0.007724
600M,chip_042_092_merged.tif,0.6,2,789667035,154,30.8546,30.8546,-0.0,38.478,38.478,-0.0,0.016729,0.007034
600M,chip_042_092_merged.tif,0.6,3,309721517,154,29.684,29.684,-0.0,38.0372,38.0372,0.0,0.01761,0.007141
600M,chip_042_092_merged.tif,0.6,4,2076598534,154,30.9622,30.9622,0.0,38.0245,38.0245,0.0,0.015988,0.007085
600M,chip_042_092_merged.tif,0.8,0,1167626988,208,30.2497,30.2497,-0.0,35.0983,35.0983,-0.0,0.017512,0.009245
600M,chip_042_092_merged.tif,0.8,1,687681470,208,29.3396,29.3396,-0.0,35.9973,35.9973,0.0,0.020521,0.0091
600M,chip_042_092_merged.tif,0.8,2,307074839,208,27.4509,27.4509,-0.0,35.7455,35.7455,-0.0,0.025177,0.00856
600M,chip_042_092_merged.tif,0.8,3,2073951856,208,27.4508,27.4508,-0.0,34.2407,34.2407,0.0,0.025178,0.009919
600M,chip_042_092_merged.tif,0.8,4,1594006338,208,29.3385,29.3385,0.0,35.9465,35.9465,-0.0,0.020522,0.009011
600M,chip_047_106_merged.tif,0.2,0,1540040360,50,36.5318,36.5318,-0.0,40.1615,40.1615,0.0,0.010167,0.006887
600M,chip_047_106_merged.tif,0.2,1,1060094842,50,36.5533,36.5533,0.0,39.6767,39.6767,-0.0,0.009814,0.007151
