backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
600M,chip_038_107_merged.tif,0.8,3,391504165,208,34.4402,36.685,2.2447
600M,chip_038_107_merged.tif,0.8,4,2059042295,208,33.4711,36.1971,2.726
600M,chip_039_108_merged.tif,0.2,0,37686692,50,31.3385,39.358,8.0195
600M,chip_039_108_merged.tif,0.2,1,1804563709,50,31.6515,39.5046,7.8531
600M,chip_039_108_merged.tif,0.2,2,1324618191,50,33.7851,39.6724,5.8874
600M,chip_039_108_merged.tif,0.2,3,944011560,50,32.1337,38.3595,6.2258
600M,chip_039_108_merged.tif,0.2,4,464066042,50,35.022,39.3098,4.2877
600M,chip_039_108_merged.tif,0.4,0,2024555007,100,32.9779,39.099,6.121
600M,chip_039_108_merged.tif,0.4,1,1544609489,100,28.5776,38.47,9.8924
600M,chip_039_108_merged.tif,0.4,2,1164002858,100,32.1319,38.8721,6.7402
600M,chip_039_108_merged.tif,0.4,3,783396227,100,29.1354,39.1099,9.9745
600M,chip_039_108_merged.tif,0.4,4,303450709,100,29.6129,38.8006,9.1877
600M,chip_039_108_merged.tif,0.6,0,1281256800,154,29.8594,38.8276,8.9682
600M,chip_039_108_merged.tif,0.6,1,900650169,154,30.4319,38.2009,7.769
600M,chip_039_108_merged.tif,0.6,2,420704651,154,29.8337,38.5587,8.725
600M,chip_039_108_merged.tif,0.6,3,40098020,154,29.8337,38.7541,8.9204
600M,chip_039_108_merged.tif,0.6,4,1707636150,154,29.4147,38.2851,8.8704
600M,chip_039_108_merged.tif,0.8,0,798664604,208,24.179,34.5368,10.3578
600M,chip_039_108_merged.tif,0.8,1,418057973,208,29.6964,35.9076,6.2111
600M,chip_039_108_merged.tif,0.8,2,2085596103,208,29.696,34.5358,4.8397
600M,chip_039_108_merged.tif,0.8,3,1704989472,208,24.18,36.7082,12.5282
600M,chip_039_108_merged.tif,0.8,4,1225043954,208,29.6752,36.2488,6.5736
600M,chip_039_111_merged.tif,0.2,0,1727264021,50,36.4432,39.2276,2.7845
600M,chip_039_111_merged.tif,0.2,1,1346657390,50,37.4905,40.1655,2.675
600M,chip_039_111_merged.tif,0.2,2,866711872,50,38.3666,39.626,1.2594
600M,chip_039_111_merged.tif,0.2,3,486105241,50,38.3319,40.3061,1.9742
600M,chip_039_111_merged.tif,0.2,4,105498610,50,38.3684,39.6826,1.3142
600M,chip_039_111_merged.tif,0.4,0,1566648688,100,38.8176,40.3571,1.5395
600M,chip_039_111_merged.tif,0.4,1,1186042057,100,38.0723,39.003,0.9307
600M,chip_039_111_merged.tif,0.4,2,706096539,100,35.8964,39.0894,3.193
600M,chip_039_111_merged.tif,0.4,3,325489908,100,37.9748,39.8992,1.9243
600M,chip_039_111_merged.tif,0.4,4,1993028038,100,38.598,40.0387,1.4407
600M,chip_039_111_merged.tif,0.6,0,823350481,154,37.2914,38.0324,0.741
600M,chip_039_111_merged.tif,0.6,1,442743850,154,38.0804,38.6714,0.5909
600M,chip_039_111_merged.tif,0.6,2,2110281980,154,37.3425,39.5146,2.1722
600M,chip_039_111_merged.tif,0.6,3,1729675349,154,38.1766,38.7125,0.5359
600M,chip_039_111_merged.tif,0.6,4,1249729831,154,37.2054,39.3389,2.1335
600M,chip_039_111_merged.tif,0.8,0,340758285,208,35.264,37.4581,2.1941
600M,chip_039_111_merged.tif,0.8,1,2107635302,208,36.1783,38.099,1.9206
600M,chip_039_111_merged.tif,0.8,2,1627689784,208,36.1788,37.8315,1.6527
600M,chip_039_111_merged.tif,0.8,3,1247083153,208,35.2643,37.2496,1.9853
600M,chip_039_111_merged.tif,0.8,4,767137635,208,36.1785,38.0329,1.8544
