backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr_logged,block_psnr_replay,block_psnr_diff,random_psnr_logged,random_psnr_replay,random_psnr_diff,block_mae,random_mae
tiny,chip_039_108_merged.tif,0.4,1,1544609489,78,27.9667,27.9667,-0.0,35.8189,35.8189,0.0,0.025155,0.010728
tiny,chip_039_108_merged.tif,0.4,2,1164002858,78,31.2778,31.2778,-0.0,35.2568,35.2568,-0.0,0.017747,0.011375
tiny,chip_039_108_merged.tif,0.4,3,783396227,78,27.9686,27.9686,0.0,36.7897,36.7897,0.0,0.02515,0.010087
tiny,chip_039_108_merged.tif,0.4,4,303450709,78,31.2819,31.2819,0.0,35.8313,35.8313,0.0,0.017737,0.010812
tiny,chip_039_108_merged.tif,0.6,0,1281256800,117,29.3684,29.3684,-0.0,34.34,34.34,-0.0,0.021221,0.012235
tiny,chip_039_108_merged.tif,0.6,1,900650169,117,29.7568,29.7568,-0.0,34.9884,34.9884,0.0,0.021287,0.0118
tiny,chip_039_108_merged.tif,0.6,2,420704651,117,28.2213,28.2213,0.0,35.6229,35.6229,-0.0,0.023248,0.011266
tiny,chip_039_108_merged.tif,0.6,3,40098020,117,28.1955,28.1955,-0.0,36.095,36.095,-0.0,0.023269,0.010793
tiny,chip_039_108_merged.tif,0.6,4,1707636150,117,28.3877,28.3877,-0.0,34.9936,34.9936,0.0,0.023936,0.011734
tiny,chip_039_108_merged.tif,0.8,0,798664604,156,30.4758,30.4758,-0.0,33.2148,33.2148,-0.0,0.019436,0.014092
tiny,chip_039_108_merged.tif,0.8,1,418057973,156,30.4803,30.4803,0.0,31.8881,31.8881,-0.0,0.01938,0.014866
tiny,chip_039_108_merged.tif,0.8,2,2085596103,156,29.7653,29.7653,0.0,34.9619,34.9619,-0.0,0.021778,0.011948
tiny,chip_039_108_merged.tif,0.8,3,1704989472,156,29.7257,29.7257,-0.0,33.2217,33.2217,0.0,0.021944,0.013997
tiny,chip_039_108_merged.tif,0.8,4,1225043954,156,30.5119,30.5119,-0.0,33.2502,33.2502,-0.0,0.019337,0.014167
tiny,chip_039_111_merged.tif,0.2,0,1727264021,39,30.7686,30.7686,0.0,36.727,36.727,-0.0,0.016513,0.009537
tiny,chip_039_111_merged.tif,0.2,1,1346657390,39,35.955,35.955,-0.0,36.2261,36.2261,-0.0,0.010576,0.010107
tiny,chip_039_111_merged.tif,0.2,2,866711872,39,35.2726,35.2726,-0.0,36.8588,36.8588,-0.0,0.011409,0.009607
tiny,chip_039_111_merged.tif,0.2,3,486105241,39,33.9987,33.9987,0.0,36.0415,36.0415,0.0,0.013201,0.010225
tiny,chip_039_111_merged.tif,0.2,4,105498610,39,35.2734,35.2734,0.0,35.9524,35.9524,0.0,0.011409,0.009972
tiny,chip_039_111_merged.tif,0.4,0,1566648688,78,35.1287,35.1287,0.0,36.7707,36.7707,-0.0,0.011405,0.009614
tiny,chip_039_111_merged.tif,0.4,1,1186042057,78,33.377,33.377,-0.0,36.6965,36.6965,-0.0,0.01284,0.009445
