chip,mask_ratio,trial,block_psnr,random_psnr
chip_217_425,0.4,29,31.165165450629377,33.293306706969844
chip_217_425,0.4,30,31.300417744661125,32.54072655329936
chip_217_425,0.4,31,30.807215295641207,33.69424478997597
chip_217_425,0.4,32,30.862511303916303,32.716504712214444
chip_217_425,0.4,33,29.84173523849438,33.011588678526806
chip_217_425,0.4,34,30.448499101860826,33.077256774257236
chip_217_425,0.4,35,30.430373343933294,32.89130274846742
chip_217_425,0.4,36,30.717842124333394,32.798341154446284
chip_217_425,0.4,37,29.8776963787714,33.598315910946354
chip_217_425,0.4,38,31.16465605153057,32.78997540651456
chip_217_425,0.4,39,31.54133732291202,33.27345173115483
chip_217_425,0.4,40,30.128969499146955,32.35114930044058
chip_217_425,0.4,41,30.304199141027674,33.10381956348814
chip_217_425,0.4,42,30.787595698083283,32.72697311459871
chip_217_425,0.4,43,31.332229269575905,32.43899748801316
chip_217_425,0.4,44,31.635255340735853,33.003002199749815
chip_217_425,0.4,45,30.401922656500343,33.45727592574307
chip_217_425,0.4,46,30.718460693618333,33.54769150560915
chip_217_425,0.4,47,29.866562891933967,33.11399979493517
chip_217_425,0.4,48,30.618124820445637,33.43491119905255
chip_217_425,0.4,49,30.807688404040093,33.32797937210424
chip_217_425,0.6,0,30.081776348421712,32.39337853205862
chip_217_425,0.6,1,31.622424660591403,32.03759962647404
chip_217_425,0.6,2,31.059577568041185,32.56306225138656
chip_217_425,0.6,3,29.9734001660955,32.5775835380185
chip_217_425,0.6,4,31.622678464123815,32.20788799926794
chip_217_425,0.6,5,29.99556605233336,31.96403822999034
chip_217_425,0.6,6,30.54615619044872,32.07567290472707
chip_217_425,0.6,7,29.995658481017614,32.539637638478496
chip_217_425,0.6,8,31.059700496754985,32.05106518022742
chip_217_425,0.6,9,30.54605241766673,32.66691456296966
chip_217_425,0.6,10,30.08198809894809,32.48126711915763
chip_217_425,0.6,11,31.21479612352349,32.238865028904364
chip_217_425,0.6,12,31.21456473671488,32.3135385472364
chip_217_425,0.6,13,30.401675030751484,31.64977365838118
chip_217_425,0.6,14,29.99588476282062,32.96396419452789
chip_217_425,0.6,15,30.37995479655391,32.22317997051328
chip_217_425,0.6,16,30.37995148569237,32.23269047188917
chip_217_425,0.6,17,30.081953064084956,32.64325122126226
chip_217_425,0.6,18,30.714367367157507,32.95940908158923
chip_217_425,0.6,19,30.54626168576322,31.44820509218809
chip_217_425,0.6,20,29.973386096169968,32.69313101588126
chip_217_425,0.6,21,31.21483190264209,32.522069489124235
chip_217_425,0.6,22,30.379966108683213,31.956404386828243
chip_217_425,0.6,23,30.402038293964996,31.926992824182875
chip_217_425,0.6,24,29.595488176128523,32.22194687088276
chip_217_425,0.6,25,30.900476151802696,32.473245016161314
chip_217_425,0.6,26,29.996026194934863,32.457070194625224
chip_217_425,0.6,27,30.995840644749947,32.08586246168628
chip_217_425,0.6,28,30.372633479954242,32.19400687894794
chip_217_425,0.6,29,31.05982375160968,32.668911619147245
chip_217_425,0.6,30,30.545841726414196,32.19962112276294
chip_217_425,0.6,31,30.37256351862936,32.38300976825877
chip_217_425,0.6,32,29.995988310881202,31.72581942645877
chip_217_425,0.6,33,30.043187559708684,32.725353517858856
chip_217_425,0.6,34,30.082313215349494,32.4546232009747
chip_217_425,0.6,35,30.89984168264191,32.67601247988875
chip_217_425,0.6,36,30.900136201651836,32.95778037996557
chip_217_425,0.6,37,30.714274693361872,32.21626202082154
chip_217_425,0.6,38,30.838544784165073,32.88680106024138
chip_217_425,0.6,39,31.21450254525278,32.22428136879942
chip_217_425,0.6,40,29.995785763081074,32.34398517842032
chip_217_425,0.6,41,31.62268507570204,32.2037895448299
chip_217_425,0.6,42,31.62276074225851,32.09756189673885
chip_217_425,0.6,43,31.05966210132372,32.51651783592879
chip_217_425,0.6,44,30.380150417770086,32.63970257805334
chip_217_425,0.6,45,31.622351203581267,32.16340694765745
chip_217_425,0.6,46,30.40222104626032,32.45538665384886
chip_217_425,0.6,47,30.900366668153815,32.51416566079173
chip_217_425,0.6,48,30.995964644077553,32.679758191857054
chip_217_425,0.6,49,30.996240316805693,32.40211613278167
chip_217_425,0.8,0,28.273903301816603,31.235949122327487
chip_217_425,0.8,1,30.60080856363158,31.274512630767553
chip_217_425,0.8,2,29.885596804729264,31.54462374902141
chip_217_425,0.8,3,30.601100904412405,30.785577202849694
chip_217_425,0.8,4,29.88513935120691,31.428423101965212
chip_217_425,0.8,5,30.127038450869044,31.17786020578514
chip_217_425,0.8,6,28.274657656300597,31.035526724373547
chip_217_425,0.8,7,30.601040518606766,31.376801701342686
chip_217_425,0.8,8,30.127292507669438,31.599861728039592
chip_217_425,0.8,9,30.601278873232893,31.166517416445764
chip_217_425,0.8,10,28.27462095494206,31.28378672064799
chip_217_425,0.8,11,28.274030037804113,31.429376478108452
chip_217_425,0.8,12,29.88554559117545,31.348833035519036
chip_217_425,0.8,13,30.60126696970736,30.9947194064616
chip_217_425,0.8,14,28.27472562259839,31.110294554648924
chip_217_425,0.8,15,30.127093113474935,31.457072332535848
chip_217_425,0.8,16,29.88520877861841,30.9316313057884
chip_217_425,0.8,17,28.274732079452004,31.362629481005627
