chip,ratio,trial,psnr
chip_268_410_merged.tif,0.4,45,31.4676
chip_268_410_merged.tif,0.4,46,30.4103
chip_268_410_merged.tif,0.4,47,32.1194
chip_268_410_merged.tif,0.4,48,30.1229
chip_268_410_merged.tif,0.4,49,30.1229
chip_268_410_merged.tif,0.6,0,25.5766
chip_268_410_merged.tif,0.6,1,25.8419
chip_268_410_merged.tif,0.6,2,25.5766
chip_268_410_merged.tif,0.6,3,25.5766
chip_268_410_merged.tif,0.6,4,25.5766
chip_268_410_merged.tif,0.6,5,25.5766
chip_268_410_merged.tif,0.6,6,25.8419
chip_268_410_merged.tif,0.6,7,25.5766
chip_268_410_merged.tif,0.6,8,25.5859
chip_268_410_merged.tif,0.6,9,25.7332
chip_268_410_merged.tif,0.6,10,25.5766
chip_268_410_merged.tif,0.6,11,27.2513
chip_268_410_merged.tif,0.6,12,25.5859
chip_268_410_merged.tif,0.6,13,25.5766
chip_268_410_merged.tif,0.6,14,27.0018
chip_268_410_merged.tif,0.6,15,25.5766
chip_268_410_merged.tif,0.6,16,25.8419
chip_268_410_merged.tif,0.6,17,25.5766
chip_268_410_merged.tif,0.6,18,25.5766
chip_268_410_merged.tif,0.6,19,25.6999
chip_268_410_merged.tif,0.6,20,25.5766
chip_268_410_merged.tif,0.6,21,26.4591
chip_268_410_merged.tif,0.6,22,25.5859
chip_268_410_merged.tif,0.6,23,27.4535
chip_268_410_merged.tif,0.6,24,26.5934
chip_268_410_merged.tif,0.6,25,25.7386
chip_268_410_merged.tif,0.6,26,25.5766
chip_268_410_merged.tif,0.6,27,27.4535
chip_268_410_merged.tif,0.6,28,25.5766
chip_268_410_merged.tif,0.6,29,25.5766
chip_268_410_merged.tif,0.6,30,27.2513
chip_268_410_merged.tif,0.6,31,25.7332
chip_268_410_merged.tif,0.6,32,25.5766
chip_268_410_merged.tif,0.6,33,25.5766
chip_268_410_merged.tif,0.6,34,27.2513
chip_268_410_merged.tif,0.6,35,27.3941
chip_268_410_merged.tif,0.6,36,25.6563
chip_268_410_merged.tif,0.6,37,27.4535
chip_268_410_merged.tif,0.6,38,26.5934
chip_268_410_merged.tif,0.6,39,25.5766
chip_268_410_merged.tif,0.6,40,25.8419
chip_268_410_merged.tif,0.6,41,25.5766
chip_268_410_merged.tif,0.6,42,27.0018
chip_268_410_merged.tif,0.6,43,25.8419
chip_268_410_merged.tif,0.6,44,25.5817
chip_268_410_merged.tif,0.6,45,25.5766
chip_268_410_merged.tif,0.6,46,25.7332
chip_268_410_merged.tif,0.6,47,27.4535
chip_268_410_merged.tif,0.6,48,27.3941
chip_268_410_merged.tif,0.6,49,27.3941
chip_268_410_merged.tif,0.8,0,20.2692
chip_268_410_merged.tif,0.8,1,20.2692
chip_268_410_merged.tif,0.8,2,20.2692
chip_268_410_merged.tif,0.8,3,20.2692
chip_268_410_merged.tif,0.8,4,20.2692
chip_268_410_merged.tif,0.8,5,20.2692
chip_268_410_merged.tif,0.8,6,20.2692
chip_268_410_merged.tif,0.8,7,20.2692
chip_268_410_merged.tif,0.8,8,20.2692
chip_268_410_merged.tif,0.8,9,20.2692
chip_268_410_merged.tif,0.8,10,20.2692
chip_268_410_merged.tif,0.8,11,20.2692
chip_268_410_merged.tif,0.8,12,20.2692
chip_268_410_merged.tif,0.8,13,20.2692
chip_268_410_merged.tif,0.8,14,20.2692
chip_268_410_merged.tif,0.8,15,20.2692
chip_268_410_merged.tif,0.8,16,20.2692
chip_268_410_merged.tif,0.8,17,20.2692
chip_268_410_merged.tif,0.8,18,20.2692
chip_268_410_merged.tif,0.8,19,20.2692
chip_268_410_merged.tif,0.8,20,20.2692
chip_268_410_merged.tif,0.8,21,20.2692
chip_268_410_merged.tif,0.8,22,20.2692
chip_268_410_merged.tif,0.8,23,20.2692
chip_268_410_merged.tif,0.8,24,20.2692
chip_268_410_merged.tif,0.8,25,20.2692
chip_268_410_merged.tif,0.8,26,20.2692
chip_268_410_merged.tif,0.8,27,20.2692
chip_268_410_merged.tif,0.8,28,20.2692
chip_268_410_merged.tif,0.8,29,20.2692
chip_268_410_merged.tif,0.8,30,20.2692
chip_268_410_merged.tif,0.8,31,20.2692
chip_268_410_merged.tif,0.8,32,20.2692
chip_268_410_merged.tif,0.8,33,20.2692
chip_268_410_merged.tif,0.8,34,20.2692
chip_268_410_merged.tif,0.8,35,20.2692
chip_268_410_merged.tif,0.8,36,20.2692
chip_268_410_merged.tif,0.8,37,20.2692
chip_268_410_merged.tif,0.8,38,20.2692
chip_268_410_merged.tif,0.8,39,20.2692
chip_268_410_merged.tif,0.8,40,20.2692
chip_268_410_merged.tif,0.8,41,20.2692
chip_268_410_merged.tif,0.8,42,20.2692
chip_268_410_merged.tif,0.8,43,20.2692
chip_268_410_merged.tif,0.8,44,20.2692
chip_268_410_merged.tif,0.8,45,20.2692
chip_268_410_merged.tif,0.8,46,20.2692
chip_268_410_merged.tif,0.8,47,20.2692
