backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block,block_rmse,random_rmse
tiny,chip_116_447_merged.tif,0.8,1,1865645617,156,34.4785,35.8754,1.3969,0.018883174218060742,0.016077925057665365
tiny,chip_116_447_merged.tif,0.8,2,1485038986,156,35.0627,35.8497,0.787,0.017654889349323324,0.01612556722111971
tiny,chip_116_447_merged.tif,0.8,3,1104432355,156,34.7769,36.2628,1.4859,0.018245467681292225,0.015376588777424444
tiny,chip_116_447_merged.tif,0.8,4,624486837,156,34.0206,35.0609,1.0404,0.01990535832893872,0.017658548398100517
tiny,chip_116_448_merged.tif,0.2,0,1460936003,39,34.2105,34.3324,0.1219,0.019474889402406104,0.019203482766007224
tiny,chip_116_448_merged.tif,0.2,1,1080329372,39,32.8191,35.4801,2.6609,0.02285835641003336,0.01682654688680937
tiny,chip_116_448_merged.tif,0.2,2,600383854,39,34.3878,36.6988,2.3109,0.01908138964545711,0.014623791956534399
tiny,chip_116_448_merged.tif,0.2,3,219777223,39,32.497,35.5765,3.0794,0.023721928905834227,0.016640830615381314
tiny,chip_116_448_merged.tif,0.2,4,1986654240,39,32.687,36.5896,3.9026,0.023208656457502076,0.014808804507622479
tiny,chip_116_448_merged.tif,0.4,0,1300320670,78,34.2353,35.83,1.5947,0.019419363896860324,0.016162182261066135
tiny,chip_116_448_merged.tif,0.4,1,919714039,78,33.6935,35.4084,1.7149,0.020669263411810666,0.016966020991333493
tiny,chip_116_448_merged.tif,0.4,2,439768521,78,33.8579,35.3783,1.5204,0.020281730145489053,0.017024916870073247
tiny,chip_116_448_merged.tif,0.4,3,59161890,78,33.6423,35.9853,2.343,0.020791460619711207,0.015875777367894493
tiny,chip_116_448_merged.tif,0.4,4,1726700020,78,32.9876,35.9895,3.0019,0.022419194254377713,0.01586810260463809
tiny,chip_116_448_merged.tif,0.6,0,557022463,117,34.0351,35.6391,1.604,0.01987215655825366,0.01652132977314822
tiny,chip_116_448_merged.tif,0.6,1,176415832,117,33.7083,34.8134,1.1051,0.020634074773529625,0.018168957121935315
tiny,chip_116_448_merged.tif,0.6,2,1843953962,117,32.8677,35.9162,3.0485,0.02273081461387505,0.016002579742232077
