backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
100M,chip_138_474_merged.tif,0.8,0,1433484047,12,13,0.7959,0.028325,28.9277,0.7124,0.03091,28.4869,0.688
100M,chip_138_474_merged.tif,0.8,1,1052877416,12,13,0.7959,0.028813,28.8059,0.711,0.031013,28.3989,0.6899
100M,chip_138_474_merged.tif,0.8,2,572931898,12,13,0.7959,0.030593,28.384,0.6986,0.033011,28.0997,0.6785
100M,chip_138_474_merged.tif,0.8,3,192325267,12,13,0.7959,0.028392,28.8186,0.7097,0.03072,28.4759,0.6902
100M,chip_138_474_merged.tif,0.8,4,1859863397,12,13,0.7959,0.030316,28.6631,0.6994,0.032924,28.27,0.6816
100M,chip_142_497_merged.tif,0.2,0,963793055,3,13,0.199,0.002724,43.2916,0.9803,0.008373,38.1926,0.9337
100M,chip_142_497_merged.tif,0.2,1,583186424,3,13,0.199,0.002657,43.6212,0.9807,0.008778,38.0845,0.9283
100M,chip_142_497_merged.tif,0.2,2,103240906,3,13,0.199,0.002978,42.2893,0.9784,0.0087,38.3956,0.9472
100M,chip_142_497_merged.tif,0.2,3,1870117923,3,13,0.199,0.003312,39.9022,0.9739,0.012134,33.4785,0.8959
100M,chip_142_497_merged.tif,0.2,4,1489511292,3,13,0.199,0.002943,42.5594,0.9795,0.008902,38.275,0.9383
100M,chip_142_497_merged.tif,0.4,0,803177722,6,13,0.398,0.006281,38.2649,0.9518,0.010013,36.8507,0.9251
100M,chip_142_497_merged.tif,0.4,1,422571091,6,13,0.398,0.006851,37.6132,0.9451,0.01157,35.4108,0.9115
100M,chip_142_497_merged.tif,0.4,2,2090109221,6,13,0.398,0.006403,38.1256,0.9503,0.010525,36.6785,0.9208
100M,chip_142_497_merged.tif,0.4,3,1709502590,6,13,0.398,0.00734,36.4302,0.9407,0.013468,33.2668,0.8863
100M,chip_142_497_merged.tif,0.4,4,1229557072,6,13,0.398,0.006385,36.9194,0.9481,0.012713,33.7832,0.895
100M,chip_142_497_merged.tif,0.6,0,59879515,9,13,0.5969,0.010809,35.0476,0.9055,0.01386,33.5866,0.8758
