chip_idx,backbone,mask_ratio,mae,psnr,ssim,masked_mae,masked_psnr,masked_ssim,time_sec
17,tiny,0.4,0.002552,44.8894,0.984813,0.005817,41.3118,0.964117,0.12
17,tiny,0.5,0.002875,43.8063,0.982194,0.00581,40.7515,0.961928,0.13
17,tiny,0.6,0.004064,41.0736,0.973707,0.007242,38.565,0.949205,0.14
17,tiny,0.7,0.005403,39.4072,0.96159,0.008023,37.6904,0.939909,0.16
17,tiny,0.8,0.007392,37.3852,0.947097,0.009408,36.3378,0.927029,0.18
17,tiny,0.9,0.013449,33.6475,0.911886,0.014404,33.3494,0.906316,0.2
18,tiny,0.1,0.001041,44.2386,0.992107,0.014568,32.7774,0.871823,0.06
18,tiny,0.2,0.002752,39.2427,0.976477,0.014577,32.0022,0.852347,0.08
18,tiny,0.3,0.004739,37.3236,0.959524,0.015226,32.2544,0.85406,0.09
18,tiny,0.4,0.006926,35.4211,0.935016,0.01597,31.7928,0.835093,0.11
18,tiny,0.5,0.008849,33.4922,0.917418,0.01865,30.2545,0.813126,0.12
18,tiny,0.6,0.012686,32.0663,0.879788,0.019579,30.1818,0.801225,0.15
18,tiny,0.7,0.015404,30.2529,0.84357,0.022873,28.536,0.75508,0.16
18,tiny,0.8,0.021446,28.489,0.788548,0.026774,27.5255,0.723322,0.17
18,tiny,0.9,0.036074,25.3257,0.667957,0.040635,24.8087,0.618356,0.19
19,tiny,0.1,0.002288,39.8651,0.978955,0.018687,30.7446,0.807038,0.06
19,tiny,0.2,0.003581,38.1036,0.966451,0.018968,30.863,0.79224,0.08
19,tiny,0.3,0.005697,35.8793,0.945724,0.018925,30.6652,0.801933,0.09
19,tiny,0.4,0.008256,33.7242,0.921088,0.020482,29.7779,0.785858,0.11
19,tiny,0.5,0.010878,32.2197,0.890828,0.023429,28.8875,0.742942,0.12
19,tiny,0.6,0.014363,30.8902,0.852061,0.024268,28.6122,0.725185,0.14
19,tiny,0.7,0.019464,29.1973,0.798758,0.027057,27.7669,0.69791,0.16
19,tiny,0.8,0.025511,27.4662,0.732969,0.030865,26.6387,0.662379,0.18
19,tiny,0.9,0.031504,26.1409,0.66323,0.035488,25.6239,0.611055,0.19
20,tiny,0.1,0.000827,46.3983,0.992722,0.010126,35.517,0.909191,0.06
20,tiny,0.2,0.001664,44.0579,0.986962,0.009059,36.6983,0.922822,0.07
20,tiny,0.3,0.003067,40.6777,0.973996,0.010365,35.3894,0.905969,0.09
20,tiny,0.4,0.005593,36.4306,0.945228,0.013207,32.6988,0.858179,0.11
20,tiny,0.5,0.005909,36.4106,0.945738,0.012453,33.1728,0.87133,0.12
20,tiny,0.6,0.008582,34.3477,0.914366,0.014134,32.1806,0.846039,0.14
20,tiny,0.7,0.010894,33.1599,0.883544,0.015935,31.5084,0.817956,0.16
20,tiny,0.8,0.015339,30.8951,0.834378,0.018791,30.0137,0.78706,0.18
20,tiny,0.9,0.021158,28.9746,0.756968,0.023298,28.5563,0.727399,0.19
21,tiny,0.1,0.001215,43.3942,0.99031,0.011903,33.4819,0.886712,0.06
21,tiny,0.2,0.002472,41.0845,0.978004,0.011266,34.4967,0.886199,0.08
21,tiny,0.3,0.003571,39.0401,0.965936,0.012278,33.6763,0.869707,0.09
21,tiny,0.4,0.004865,37.6116,0.953542,0.012547,33.4972,0.869994,0.11
21,tiny,0.5,0.006342,36.4359,0.938047,0.012556,33.4697,0.866815,0.13
21,tiny,0.6,0.008228,34.8967,0.920805,0.014146,32.5432,0.850065,0.14
21,tiny,0.7,0.010951,33.5738,0.890403,0.014702,32.2948,0.844558,0.17
21,tiny,0.8,0.014551,31.6513,0.85341,0.017497,30.8507,0.814688,0.18
