tile,mask_type,ratio,trial,cubic_mae,cubic_rmse,cubic_psnr,cubic_mae_tailexcl,cubic_rmse_tailexcl,cubic_psnr_tailexcl,linear_mae_forcompare,linear_rmse_forcompare
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,7,28870.111875464067,167241.62985906837,-104.46688782661688,704.148924495232,1228.6060727809338,-61.78825315258203,0.4359521391372936,0.7310459394234897
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,8,0.029893614205781353,0.033997001619511406,29.371187681226854,0.029893614205781353,0.033997001619511406,29.371187681226854,0.011869777255950634,0.014115202491712798
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,9,0.017098669114913836,0.02025614236896139,33.86886518483748,0.017098669114913836,0.02025614236896139,33.86886518483748,0.014328630186517869,0.015404707809960942
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,10,0.02667673921487714,0.03560087344097445,28.97078693608062,0.02667673921487714,0.03560087344097445,28.97078693608062,0.02741593126495094,0.03641281920076603
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,11,0.03870078731428452,0.044678121953261256,26.998101815191944,0.03870078731428452,0.044678121953261256,26.998101815191944,0.025869200644243515,0.03436660035034357
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,12,0.0026678706220567257,0.003681594371697668,48.67928125220547,0.0026678706220567257,0.003681594371697668,48.67928125220547,0.01740846069796949,0.019412844852358516
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,13,0.0720033534681857,0.09855928001650176,20.12604955448635,0.06520257258460152,0.08330739502784003,21.58632890890248,0.08143995628667028,0.10031791752810462
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,14,0.4832306866914939,0.554394932961678,5.123614954535355,0.4832306866914939,0.554394932961678,5.123614954535355,0.0192117967435304,0.022579201360353258
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,15,0.1115616293746127,0.13287279625747403,17.53127850674343,0.1115616293746127,0.13287279625747403,17.53127850674343,0.04739749250737498,0.053016945461263246
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,16,0.0318552774668652,0.0383954996405822,28.314393531295327,0.0318552774668652,0.0383954996405822,28.314393531295327,0.01763171510900485,0.018937001907127046
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,17,0.018016062861675404,0.026913256379708525,31.40067502861385,0.018016062861675404,0.026913256379708525,31.40067502861385,0.019147338984500727,0.025926739840018576
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,18,0.033488352924243604,0.039702496663182325,28.02364364158897,0.033488352924243604,0.039702496663182325,28.02364364158897,0.014939736134371369,0.016150926831515956
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,19,0.02386684897323755,0.029133893315222002,30.712029488817116,0.02386684897323755,0.029133893315222002,30.712029488817116,0.035381255183472356,0.04011082183775042
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,20,0.02635175390793224,0.04290032166684878,27.350789029212876,0.02635175390793224,0.04290032166684878,27.350789029212876,0.03806702831396177,0.05215741535355272
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,21,0.10084671608640199,0.12179700933218102,18.28726750934644,0.10084671608640199,0.12179700933218102,18.28726750934644,0.023244055293967454,0.03051410706679754
