tile,mask_type,ratio,trial,mae,rmse,psnr,mae_tailexcl,rmse_tailexcl,psnr_tailexcl,o2a_mae,o2a_n_masked,tail_mae,tail_n_masked,tile_radiance_min,tile_radiance_max
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,20,0.005450568163652586,0.03612264848486155,28.844408301061538,0.0007053545611768796,0.0012125258525950105,58.326179858313374,0.0008784721468946393,1,0.13831654903297236,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,21,0.01083995776166707,0.04197351260050156,27.540493696932238,0.0041210857624132124,0.019972677596626676,33.99127416829687,nan,0,0.19896837374077514,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,22,0.005583489207985969,0.03614199591630414,28.8397573501104,0.0008430227856650274,0.0017082996219602536,55.348719104416105,nan,0,0.13831654903297236,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,23,0.0007131415521943462,0.0015428953482112119,56.233270606873674,0.0007131415521943462,0.0015428953482112119,56.233270606873674,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,24,0.0011208396589949957,0.002231235233645203,53.02909281405783,0.0010518979221513889,0.0021246255017183884,53.45435220046617,nan,0,0.003051208290615991,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,25,0.0008936270550197551,0.001778149987895017,55.0006321770143,0.0008643057925396655,0.0017291932094140494,55.24312957241146,0.00807332414256486,1,0.0025649390163848696,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,26,0.00759809762678034,0.039447572845315755,28.07959426344563,0.000745184896068367,0.0016477811096781562,55.66200960487379,0.003375855453633258,1,0.10011241949139199,4,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,27,0.0021017776776894666,0.005556676426842583,45.1036978412519,0.0020765899603709106,0.005569076766229673,45.084335911839716,0.018603421355236866,2,0.0035374775648471125,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,28,0.0027236494725227803,0.015347239535561257,36.2793945695783,0.000617982264810578,0.0015084774107086418,56.42922377909429,0.004526667233309487,2,0.041327548280579815,3,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,29,0.005383383077397782,0.036362150206387,28.78700887030043,0.00047711584905286763,0.0009449362995789126,60.4919493467211,nan,0,0.09533161559705453,3,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,30,0.03303347000534838,0.24371238016306265,12.26244817708196,0.0010146365816246488,0.001981336016640091,54.06083731610738,0.0031332367125212336,2,0.9295608058696128,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,31,0.00280411286233846,0.015350186713529263,36.27772675140718,0.0007320465752236618,0.0015672378868245567,56.09730156272738,nan,0,0.060821968901552816,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,32,0.0030174791947567077,0.015409549772315838,36.24420100143339,0.001041406870092481,0.00224585148311905,52.97237933544042,0.0008784721468946393,1,0.11565360170061763,1,0.0017520143883302808,0.4716784954071045
