tile,tile_had_nan,trial,mask_type,mask_ratio,n_bands_masked,mae,rmse,psnr_db,n_values_excluded_nan,n_values_total
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,4,contiguous,0.2,58,0.0018797665499168906,0.002812156995307593,51.01920874919989,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,4,scattered,0.2,58,0.0010258108754576088,0.005348724155196558,45.43499597990133,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,5,contiguous,0.2,58,0.006088546473115483,0.006767355525292812,43.39162014221779,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,5,scattered,0.2,58,0.0004821016950419916,0.0025990564889276473,51.703685625347504,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,6,contiguous,0.2,58,0.0026711149118819892,0.0042870021590845145,47.35692595526785,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,6,scattered,0.2,58,0.0007374878522671123,0.0027367860817435414,51.25518294948932,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,7,contiguous,0.2,58,0.0034630779048735504,0.007386358027193511,42.631392906172884,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,7,scattered,0.2,58,0.000545434280718803,0.002627257990254638,51.609945569458766,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,8,contiguous,0.2,58,0.00480590932681051,0.007539310467106153,42.45336744341233,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,8,scattered,0.2,58,0.0007563598162078644,0.003360345498501596,49.472321354710346,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,9,contiguous,0.2,58,0.0016022891228518815,0.0022841794952951568,52.825395427497064,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_200.npy,False,9,scattered,0.2,58,0.0006971549920699905,0.004578652948878337,46.785245474495774,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,0,contiguous,0.2,58,0.007632745183354013,0.019185164149924903,34.34068961177188,12354,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,0,scattered,0.2,58,0.0013644715353976046,0.008386655704642925,41.528223712067415,2211,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,1,contiguous,0.2,58,0.013035003622503729,0.014436976133356762,36.810475229675845,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,1,scattered,0.2,58,0.006363617095693022,0.05468844147808835,25.242089061163533,1947,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,2,contiguous,0.2,58,0.007385627518121087,0.016723816749207764,35.53329199732351,12528,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,2,scattered,0.2,58,0.00138201111978747,0.008609578789446076,41.300361904478564,2949,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,3,contiguous,0.2,58,0.004702132743168461,0.006088617591045416,44.30962603808887,12528,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,3,scattered,0.2,58,0.0017049645457953612,0.014400984470074629,36.83215635905786,2199,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,4,contiguous,0.2,58,0.0033685409066761545,0.006437075048004686,43.82622855054376,11330,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,4,scattered,0.2,58,0.002213837477408199,0.016971840467222468,35.40542118379615,2005,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,5,contiguous,0.2,58,0.007534081621087809,0.009129453427677547,40.79110445029787,12064,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,5,scattered,0.2,58,0.001138931829694471,0.009531483640440885,40.41678986403035,2611,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,6,contiguous,0.2,58,0.004777979690890436,0.00995028751838439,40.04328739846496,11274,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,6,scattered,0.2,58,0.0013645269883546536,0.007256385467061796,42.78559310283073,1404,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,7,contiguous,0.2,58,0.006399285091229188,0.018665710394318195,34.57910953402882,10623,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,7,scattered,0.2,58,0.0010052342895312655,0.008325380084664784,41.59191860410969,2384,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,8,contiguous,0.2,58,0.009213479160181226,0.019425013384371984,34.232773465720484,11194,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,8,scattered,0.2,58,0.0015796013136428805,0.009646485608993213,40.31261758517328,2284,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,9,contiguous,0.2,58,0.002654833577022409,0.005013374897453695,45.99739635733946,11301,534528
PACE_OCI.20240510T003914.L1B.V3_image_217.npy,True,9,scattered,0.2,58,0.0015381136882850145,0.01499551453475753,36.48077255771274,2992,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,0,contiguous,0.2,58,0.006987759724149527,0.016436759218694877,35.68367613516537,8468,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,0,scattered,0.2,58,0.0011606592809907449,0.00737171004433801,42.64863510937541,1427,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,1,contiguous,0.2,58,0.011895906387391087,0.013109169719993421,37.64849627671556,0,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,1,scattered,0.2,58,0.005270828996154967,0.045078390780342405,26.920631918042854,1227,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,2,contiguous,0.2,58,0.006412379126594851,0.01355365505258618,37.35887143141538,8700,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,2,scattered,0.2,58,0.0011749421178893456,0.00707828330597673,43.00144117711766,1858,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,3,contiguous,0.2,58,0.0042345595528494985,0.00533656823192276,45.45475866860077,8700,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,3,scattered,0.2,58,0.0013744269510019618,0.011644660694671979,38.677463230741445,1407,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,4,contiguous,0.2,58,0.00286068772784302,0.0056378608590076365,44.9777129322215,7168,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,4,scattered,0.2,58,0.001837289195438649,0.014328146567461397,36.87619969182072,1218,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,5,contiguous,0.2,58,0.006852435001145672,0.00814982044634021,41.77703918721924,8236,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,5,scattered,0.2,58,0.0009524346780790989,0.007907918240374947,42.0387565897408,1687,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,6,contiguous,0.2,58,0.004568818934307908,0.00920100682506045,40.723292942994334,7118,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,6,scattered,0.2,58,0.001112875278472178,0.0058956112574418225,44.58942321096469,920,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,7,contiguous,0.2,58,0.005548063974069056,0.0160318138578637,35.90034676577288,6359,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,7,scattered,0.2,58,0.0008810603846960522,0.006885358657594285,43.24146864929676,1520,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,8,contiguous,0.2,58,0.00833176883494558,0.016820362991445858,35.483292723103546,6960,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,8,scattered,0.2,58,0.0013766122009070657,0.00839878333720158,41.515672441166174,1434,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,9,contiguous,0.2,58,0.0024452184690621223,0.004639128177444382,46.671272558300096,7110,534528
PACE_OCI.20240510T004414.L1B.V3_image_006.npy,True,9,scattered,0.2,58,0.0013087775772846093,0.012575293987381716,38.00963706284796,1914,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,0,contiguous,0.2,58,0.011235706477969759,0.02050223308173027,33.763976669367295,14094,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,0,scattered,0.2,58,0.0017091563412576928,0.008297140958461145,41.621430634085435,2456,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,1,contiguous,0.2,58,0.009928035375464628,0.011044866792844478,39.13679035181553,0,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,1,scattered,0.2,58,0.008360301532785675,0.05278884627631157,25.54915659188342,2191,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,2,contiguous,0.2,58,0.010608382662520769,0.01712611854179642,35.32682108498391,14210,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,2,scattered,0.2,58,0.0015998012282325918,0.008115573887477455,41.813615278055785,3305,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,3,contiguous,0.2,58,0.004295789720135731,0.005551689161258325,45.111497159887506,14210,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,3,scattered,0.2,58,0.00203697580902399,0.013774586713942721,37.218428452858184,2482,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,4,contiguous,0.2,58,0.004252033657270709,0.00674053384366028,43.42611412812253,12778,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,4,scattered,0.2,58,0.0028746102972678532,0.016368030531311823,35.720071470820265,2199,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,5,contiguous,0.2,58,0.007644651665041639,0.008988539784048547,40.92621710023696,13804,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,5,scattered,0.2,58,0.0014756582478405579,0.00933452950474297,40.598151344642766,2940,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,6,contiguous,0.2,58,0.007465177395892555,0.011256526312546046,38.971912182662415,12670,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,6,scattered,0.2,58,0.0015303240636460455,0.006887179295034175,43.239172216203556,1586,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,7,contiguous,0.2,58,0.008892816693385777,0.019472976629821385,34.21135314720828,11784,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,7,scattered,0.2,58,0.001214388150555708,0.007914912348618137,42.03107780484426,2675,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,8,contiguous,0.2,58,0.013590923245722199,0.02031542565658809,33.8434814747546,12470,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,8,scattered,0.2,58,0.0021357928257282836,0.00977643563920495,40.19638908906917,2487,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,9,contiguous,0.2,58,0.003653517802402892,0.005668593458535178,44.93049377443682,12660,534528
PACE_OCI.20240510T004414.L1B.V3_image_120.npy,True,9,scattered,0.2,58,0.001989562075814118,0.014443881608742475,36.80632159969869,3369,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,0,contiguous,0.2,58,0.02348443460923582,0.04593345059125646,26.757418569780857,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,0,scattered,0.2,58,0.002617630302499828,0.007676166335952636,42.297112460899925,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,1,contiguous,0.2,58,0.003703556237491854,0.00484759070956709,46.289481110499906,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,1,scattered,0.2,58,0.01218380584967579,0.054135161609797845,25.330411247655164,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,2,contiguous,0.2,58,0.0407677090653278,0.04908287126251763,26.181400794616273,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,2,scattered,0.2,58,0.0036703888919030576,0.01521763093490586,36.35305905640794,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,3,contiguous,0.2,58,0.004184369917412234,0.005812785956611939,44.71231337425874,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,3,scattered,0.2,58,0.0041455914212778664,0.01948773031967677,34.20477477951441,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,4,contiguous,0.2,58,0.009740256423391328,0.012463732913471725,38.08703732219825,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,4,scattered,0.2,58,0.0056819117955600055,0.025423168989110356,31.895406315054686,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,5,contiguous,0.2,58,0.01459380699445602,0.016832366141191907,35.47709661116186,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,5,scattered,0.2,58,0.0043636151438948695,0.020493639819265667,33.767618017884104,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,6,contiguous,0.2,58,0.009647314581470659,0.01212341029626438,38.32750393257286,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,6,scattered,0.2,58,0.0027493952181347884,0.008582315611517934,41.32791036977863,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,7,contiguous,0.2,58,0.03183464242872463,0.048949980138103304,26.20494960159435,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,7,scattered,0.2,58,0.0029566203202844193,0.015113347960316397,36.41278637221148,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,8,contiguous,0.2,58,0.0236192180617957,0.04394916612673842,27.140987212710534,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,8,scattered,0.2,58,0.005393921071300332,0.020449798420345784,33.786219372069674,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,9,contiguous,0.2,58,0.008191255358410062,0.011774498809699475,38.58115139746643,0,534528
PACE_OCI.20240610T002714.L1B.V3_image_056.npy,False,9,scattered,0.2,58,0.0049338539341138255,0.025396689495887158,31.904457815136702,0,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,0,contiguous,0.2,58,0.024076305079961058,0.0419280512212948,27.549906455008276,16298,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,0,scattered,0.2,58,0.003688928453522486,0.01625689341805898,35.77924883079855,2518,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,1,contiguous,0.2,58,0.009510481863289332,0.01100308277603722,39.16971239674196,0,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,1,scattered,0.2,58,0.01950703865484727,0.10286870716690201,19.75433436512544,2135,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,2,contiguous,0.2,58,0.024646409304457627,0.03627646320398481,28.807501227094278,16646,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,2,scattered,0.2,58,0.003453046465318621,0.0155313651709498,36.17580738233427,3224,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,3,contiguous,0.2,58,0.005835536404887664,0.007962163657429385,41.97937800002701,16646,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,3,scattered,0.2,58,0.004168568374428777,0.026435402502296538,31.556281453847298,2507,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,4,contiguous,0.2,58,0.00908047389407375,0.013164395311679953,37.61198169634163,12609,534528
PACE_OCI.20240710T013002.L1B.V3_image_202.npy,True,4,scattered,0.2,58,0.006421166240665183,0.0322516644029772,29.828957358635286,2049,534528
